EventName,Acts,Cost,Date,Entry Method,Event Type,Interested?,Link,Notes,Organization,Place,Series,Source,Status,Time,Venue
Hot 8 Brass Band,,,"March 8, 2026",,Live Music,No,https://www.ticketmaster.com/discover/new-orleans,Venue: Howlin' Wolf. Weekly recurring. Grammy-winning.,,,,,,10:30 PM,
"Southern Nights ft. Dusky Waters, Erica Falls & Anna Moss (Early)",,,"March 8, 2026",,Live Music,No,,Venue: Snug Harbor Jazz Bistro,,,,,,7:30 PM,
Dave Jordan Trio,,Free,"March 7, 2026",,Live Music,No,,Venue: NOLA Brewing. Free show.,,,,,,7:00 PM,
Shwag,,,"March 8, 2026",,Live Music,No,,Venue: Adolfo's,,,,,,6:00 PM,
Cottage Chemistry: A Heated Rivalry Dance Party,,,"March 7, 2026",,,No,,Venue: The Joy Theater. ft. What the Dance.,,,,,,9:00 PM,
Ado Soul and the Tribe,,,"March 8, 2026",,Live Music,No,,Venue: Gasa Gasa,,,,,,8:00 PM,
Delfeayo Marsalis Sextet (Late Set),,,"March 7, 2026",,Live Music,No,,Venue: Snug Harbor Jazz Bistro,,,,,,9:30 PM,
"Southern Nights ft. Dusky Waters, Erica Falls & Anna Moss (Late)",,,"March 8, 2026",,Live Music,No,,Venue: Snug Harbor Jazz Bistro,,,,,,9:30 PM,
Brubeck Brothers Quartet,,,"March 8, 2026",,Live Music,No,,Venue: New Orleans Jazz Market,,,,,,9:30 PM,
Treme Brass Band,,,"March 8, 2026",,Live Music,No,,Venue: d.b.a. (Frenchmen St). Weekly recurring.,,,,,,6:00 PM,
Big 6 Brass Band,,,"March 8, 2026",,Live Music,No,,Venue: Treme Hideaway. Weekly recurring.,,,,,,10:00 PM,
Delfeayo Marsalis Sextet (Early Set),,,"March 7, 2026",,Live Music,No,https://www.ticketmaster.com/discover/new-orleans,Venue: Snug Harbor Jazz Bistro,,,,,,7:30 PM,
Morgan Jay,,,"March 7, 2026",,,No,,Venue: Mahalia Jackson Theater for the Performing Arts. Ticketed.,,,,,,,
Hobo Gadget,,,"March 7, 2026",,Live Music,No,,Venue: Adolfo's,,,,,,6:00 PM,
Pat Metheny,,,"March 8, 2026",,,No,https://www.ticketmaster.com/discover/new-orleans,Venue: Orpheum Theater. Ticketed.,,,,,,7:30 PM,
