Name,Venue Type,Neighborhood,Address,Notes,Website
Bamboula's,Bar / Club,French Quarter,,,
Fritzel's Jazz Club,Bar / Club,French Quarter,,,
Vaughan's Lounge,Bar / Club,Bywater,,Legendary Thursday night spot — Corey Henry & The Treme Funktet,
Chickie Wah Wah,Bar / Club,Mid-City,,,https://www.chickiewahwah.com
Bayou Bar at The Pontchartrain,Hotel Venue,Garden District,,,
New Orleans Jazz Museum,Museum,French Quarter,,,https://nolajazzmuseum.org
21st Amendment,Bar / Club,French Quarter,,,
Three Muses,Restaurant / Lounge,Frenchmen Street,,,
Snug Harbor Jazz Bistro,Bar / Club,Frenchmen Street,,,https://www.snugjazz.com
Saturn Bar,Bar / Club,Bywater,,,
Spotted Cat Music Club,Bar / Club,Frenchmen Street,,,https://www.spottedcatmusicclub.com
30/90,Bar / Club,Marigny,,,
Saenger Theatre,Theater,CBD / Warehouse,,,https://www.saengernola.com
Tipitina's,Concert Hall,Uptown,,,https://www.tipitinas.com
d.b.a.,Bar / Club,Frenchmen Street,,,
Café Negril,Bar / Club,Frenchmen Street,,,
BJ's Lounge,Bar / Club,Bywater,,,
Jazz Playhouse,Bar / Club,French Quarter,,,
Broadside,Bar / Club,Mid-City,,,https://www.broadsideneworleans.com
Maple Leaf Bar,Bar / Club,Uptown,,,https://www.mapleleafbar.com
Buffa's,Restaurant / Lounge,Marigny,,,
Smoothie King Center,Concert Hall,CBD / Warehouse,,,https://www.smoothiekingcenter.com
Preservation Hall,Concert Hall,French Quarter,,,https://www.preservationhall.com
Mahogany Jazz Hall,Bar / Club,French Quarter,,,
Le Bon Temps Roulé,Bar / Club,Uptown,,,
Carousel Bar (Hotel Monteleone),Hotel Venue,French Quarter,,,
The Maison,Bar / Club,Frenchmen Street,,,https://www.maisonfrenchmen.com
House of Blues,Concert Hall,French Quarter,,,https://www.houseofblues.com/neworleans
Apple Barrel,Bar / Club,Frenchmen Street,,,
Blue Nile,Bar / Club,Frenchmen Street,,,https://www.bluenilelive.com
New Orleans Fairgrounds,Outdoor,Gentilly,"1751 Gentilly Blvd, New Orleans, LA 70119",Home of Jazz Fest. Large outdoor festival grounds and race course. 15 stages during Jazz Fest. Cashless event.,https://www.fairgroundsracecourse.com
Louis Armstrong Park,Outdoor,Treme,"701 N. Rampart Street, New Orleans, LA 70116",Home of Congo Square. Major outdoor festival grounds in Tremé. Site of Congo Square Rhythms Festival and other Jazz Heritage Foundation events.,https://www.nola.gov/parks-and-parkways/parks-squares/armstrong-park/
UNO Lakefront Arena Festival Grounds,Outdoor,Gentilly,"6801 Franklin Ave, New Orleans, LA 70122",Outdoor festival grounds adjacent to UNO Lakefront Arena on Lake Pontchartrain. Home of Hogs for the Cause.,https://www.unopanthers.com/facilities/uno-lakefront-arena/1
Goldring Woldenberg Riverfront Park,Outdoor,French Quarter,"1 Canal St, New Orleans, LA 70130",Riverfront park along the Mississippi. New expanded stage location for French Quarter Festival 2026 — home of the Jack Daniel's Stage.,
Canal Place Cinema,Theater,CBD / Warehouse,"333 Canal St, New Orleans, LA 70130",Cinema and event space in the Canal Place shopping center. Hosts the Overlook Film Festival.,https://canalplace.com
Music Box Village,Outdoor,Bywater,"4557 N Rampart St, New Orleans, LA 70117",Unique outdoor venue featuring interactive musical architecture. Home of Electric Spring Festival. Also hosts regular events and rentals.,https://musicboxvillage.com
New Orleans Jazz Museum,Museum,French Quarter,"400 Esplanade Ave, New Orleans, LA 70116",State museum dedicated to jazz history. Home of Danny Barker Festival. Also hosts FQFest programming (Loyola Esplanade in the Shade Stage and Songwriter Stage).,https://www.louisianastatemuseum.org/museum/new-orleans-jazz-museum
New Orleans Lakefront — Lakeshore Drive,Outdoor,Gentilly,"5000 Lakeshore Drive, New Orleans, LA 70122","Open lakefront grounds along Lake Pontchartrain. Home of Brews, Boils & Bubbles. Enter via Leon C. Simon under Seabrook Bridge — no entry from Franklin Ave.",https://www.nola.gov
Chalmette Memorial Park,Outdoor,,"101 W. St. Bernard Hwy, Chalmette, LA 70043",Outdoor festival grounds in downtown Chalmette. Home of the Louisiana Crawfish Festival. About 20 min east of New Orleans in St. Bernard Parish.,
The Howlin' Wolf,Bar / Club,CBD / Warehouse,"907 S. Peters Street, New Orleans, LA 70130",CBD music venue. Hosts Fest by Nite shows during Jazz Fest season including Help on the Way supergroup.,https://thehowlinwolf.com
Tipitina's,Bar / Club,Uptown,"501 Napoleon Avenue, New Orleans, LA 70115","Legendary New Orleans music venue founded in 1977. Home of Shorty Fest, Daze Between Band, and countless iconic shows. Wheelchair accessible. Free parking nearby.",https://tipitinas.com
The Joy Theater,Concert Hall,CBD / Warehouse,"1037 Canal Street, New Orleans, LA 70112",Mid-sized concert hall on Canal Street. Regular Fest by Nite venue during Jazz Fest season.,https://thejoytheater.com
The Broadside,Bar / Club,Mid-City,"600 N. Broad Street, New Orleans, LA 70119",Mid-City indoor/outdoor music venue. Home of NOLA Crawfish Fest during Jazz Fest daze between week.,https://thebroadsideneworleans.com
Toulouse Theatre,Concert Hall,French Quarter,"615 Toulouse Street, New Orleans, LA 70130",Intimate venue in the French Quarter. Hosts Fest by Nite late shows and daze between programming during Jazz Fest season.,https://toulousetheatre.com
d.b.a.,Bar / Club,Marigny,"618 Frenchmen Street, New Orleans, LA 70116","Live music club on Frenchmen Street since 2000. No cover most nights. Vast beer, wine & spirits selection. Friday open until 3am, Saturday from 2pm. Home of Tuba Skinny's regular Saturday sets.",https://www.dbaneworleans.com
Gasa Gasa,Bar / Club,Uptown,"4920 Freret Street, New Orleans, LA 70115",Intimate indie/alternative venue on Freret Street in Uptown. Known for eclectic bookings and a welcoming atmosphere.,https://www.gasagasanola.com
Snug Harbor Jazz Bistro,Bar / Club,Marigny,"626 Frenchmen Street, New Orleans, LA 70116",Legendary intimate jazz venue anchoring Frenchmen Street since the 1980s. Two shows nightly (typically 7:30pm & 9:30pm). Full Creole dining available. Ages 13+ welcome for shows. Reservations recommended via OpenTable.,https://snugjazz.com
Chickie Wah Wah,Bar / Club,Mid-City,"2828 Canal Street, New Orleans, LA 70119",Mid-City live music club and bar. Regular venue for local and touring acts. Intimate setting with a great vibe.,https://www.chickiewahwah.com
