Name,Address,Neighborhood,Notes,Venue Type,Website
Bamboula's,,French Quarter,,Bar / Club,
Fritzel's Jazz Club,,French Quarter,,Bar / Club,
Vaughan's Lounge,,Bywater,Legendary Thursday night spot — Corey Henry & The Treme Funktet,Bar / Club,
Chickie Wah Wah,,Mid-City,,Bar / Club,https://www.chickiewahwah.com
Bayou Bar at The Pontchartrain,,Garden District,,Hotel Venue,
New Orleans Jazz Museum,,French Quarter,,Museum,https://nolajazzmuseum.org
21st Amendment,,French Quarter,,Bar / Club,
Three Muses,,Frenchmen Street,,Restaurant / Lounge,
Snug Harbor Jazz Bistro,,Frenchmen Street,,Bar / Club,https://www.snugjazz.com
Saturn Bar,,Bywater,,Bar / Club,
Spotted Cat Music Club,,Frenchmen Street,,Bar / Club,https://www.spottedcatmusicclub.com
30/90,,Marigny,,Bar / Club,
Saenger Theatre,,CBD / Warehouse,,Theater,https://www.saengernola.com
Tipitina's,,Uptown,,Concert Hall,https://www.tipitinas.com
d.b.a.,,Frenchmen Street,,Bar / Club,
Café Negril,,Frenchmen Street,,Bar / Club,
BJ's Lounge,,Bywater,,Bar / Club,
Jazz Playhouse,,French Quarter,,Bar / Club,
Broadside,,Mid-City,,Bar / Club,https://www.broadsideneworleans.com
Maple Leaf Bar,,Uptown,,Bar / Club,https://www.mapleleafbar.com
Buffa's,,Marigny,,Restaurant / Lounge,
Smoothie King Center,,CBD / Warehouse,,Concert Hall,https://www.smoothiekingcenter.com
Preservation Hall,,French Quarter,,Concert Hall,https://www.preservationhall.com
Mahogany Jazz Hall,,French Quarter,,Bar / Club,
Le Bon Temps Roulé,,Uptown,,Bar / Club,
Carousel Bar (Hotel Monteleone),,French Quarter,,Hotel Venue,
The Maison,,Frenchmen Street,,Bar / Club,https://www.maisonfrenchmen.com
House of Blues,,French Quarter,,Concert Hall,https://www.houseofblues.com/neworleans
Apple Barrel,,Frenchmen Street,,Bar / Club,
Blue Nile,,Frenchmen Street,,Bar / Club,https://www.bluenilelive.com
New Orleans Fairgrounds,"1751 Gentilly Blvd, New Orleans, LA 70119",Gentilly,Home of Jazz Fest. Large outdoor festival grounds and race course. 15 stages during Jazz Fest. Cashless event.,Outdoor,https://www.fairgroundsracecourse.com
Louis Armstrong Park,"701 N. Rampart Street, New Orleans, LA 70116",Treme,Home of Congo Square. Major outdoor festival grounds in Tremé. Site of Congo Square Rhythms Festival and other Jazz Heritage Foundation events.,Outdoor,https://www.nola.gov/parks-and-parkways/parks-squares/armstrong-park/
UNO Lakefront Arena Festival Grounds,"6801 Franklin Ave, New Orleans, LA 70122",Gentilly,Outdoor festival grounds adjacent to UNO Lakefront Arena on Lake Pontchartrain. Home of Hogs for the Cause.,Outdoor,https://www.unopanthers.com/facilities/uno-lakefront-arena/1
Goldring Woldenberg Riverfront Park,"1 Canal St, New Orleans, LA 70130",French Quarter,Riverfront park along the Mississippi. New expanded stage location for French Quarter Festival 2026 — home of the Jack Daniel's Stage.,Outdoor,
Canal Place Cinema,"333 Canal St, New Orleans, LA 70130",CBD / Warehouse,Cinema and event space in the Canal Place shopping center. Hosts the Overlook Film Festival.,Theater,https://canalplace.com
