Date,Event Type,EventName,Notes,Time,Acts,Cost,Venue,Link,Source
"April 16, 2026 → April 19, 2026",Festival,French Quarter Festival,"Nation's largest free Louisiana music festival. 300+ performances. Headliners include Irma Thomas, Big Freedia, Cyril Neville, PJ Morton. New this year: expanded riverfront footprint at Goldring Woldenberg Park, 5K race on Apr 18. Louisiana Fish Fry Stage features brass bands + DJ Poppa bounce sets.",,,Free (suggested $5 donation),Goldring Woldenberg Riverfront Park (https://www.notion.so/Goldring-Woldenberg-Riverfront-Park-330a37df8710816e9923eebdbeffe9e2?pvs=21),https://frenchquarterfest.org,
"April 10, 2026",,,,,,,,,
"April 10, 2026",,,,,,,,,
"April 10, 2026",,,,,,,,,
"March 8, 2026",Live Music,Hot 8 Brass Band,Venue: Howlin' Wolf. Weekly recurring. Grammy-winning.,10:30 PM,,,,https://www.ticketmaster.com/discover/new-orleans,
"March 8, 2026",Live Music,"Southern Nights ft. Dusky Waters, Erica Falls & Anna Moss (Early)",Venue: Snug Harbor Jazz Bistro,7:30 PM,,,,,
"March 7, 2026",Live Music,Dave Jordan Trio,Venue: NOLA Brewing. Free show.,7:00 PM,,Free,,,
"March 8, 2026",Live Music,Shwag,Venue: Adolfo's,6:00 PM,,,,,
"March 7, 2026",,Cottage Chemistry: A Heated Rivalry Dance Party,Venue: The Joy Theater. ft. What the Dance.,9:00 PM,,,,,
"March 8, 2026",Live Music,Ado Soul and the Tribe,Venue: Gasa Gasa,8:00 PM,,,,,
"March 7, 2026",Live Music,Delfeayo Marsalis Sextet (Late Set),Venue: Snug Harbor Jazz Bistro,9:30 PM,,,,,
"March 8, 2026",Live Music,"Southern Nights ft. Dusky Waters, Erica Falls & Anna Moss (Late)",Venue: Snug Harbor Jazz Bistro,9:30 PM,,,,,
"March 8, 2026",Live Music,Brubeck Brothers Quartet,Venue: New Orleans Jazz Market,9:30 PM,,,,,
"March 8, 2026",Live Music,Treme Brass Band,Venue: d.b.a. (Frenchmen St). Weekly recurring.,6:00 PM,,,,,
"March 8, 2026",Live Music,Big 6 Brass Band,Venue: Treme Hideaway. Weekly recurring.,10:00 PM,,,,,
"March 7, 2026",Live Music,Delfeayo Marsalis Sextet (Early Set),Venue: Snug Harbor Jazz Bistro,7:30 PM,,,,https://www.ticketmaster.com/discover/new-orleans,
"March 7, 2026",,Morgan Jay,Venue: Mahalia Jackson Theater for the Performing Arts. Ticketed.,,,,,,
"March 7, 2026",Live Music,Hobo Gadget,Venue: Adolfo's,6:00 PM,,,,,
"March 8, 2026",,Pat Metheny,Venue: Orpheum Theater. Ticketed.,7:30 PM,,,,https://www.ticketmaster.com/discover/new-orleans,
